Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Sadik, Kusman; Notodiputro, Khairil Anwar; ",METODE E-BLUP DALAM SMALL AREA ESTIMATION UNTUK MODEL YANG MENGANDUNG RANDOM WALK,Forum Statistika dan Komputasi,11,2,,2012,
"Fitriyah, Hadiyatul; Kurnia, Anang; Afendi, Farit M; ",NEGATIVE BINOMIAL REGRESSION METHODS TO ANALYZE FACTORS AFFECTING CHILD MORTALITY RATES IN WEST JAVA,"Proceeding of International Conference On Research, Implementation And Education Of Mathematics And Sciences 2015 (ICRIEMS 2015), Yogyakarta State University, 17-19 May 2015",,,,2015,Faculty of Mathematics and Sciences Yogyakarta State University
"Notodiputro, Khairil Anwar; Susetyo, Budi; Darusman, Latifah Kosim; ",Pengembangan Model Untuk Pendugaan Kandungan Senyawa Bioaktif atau Senyawa Penciri Beberapa Tanaman Obat,,,,,2005,IPB (Bogor Agricultural University)
"Lestari, AA; Kurnia, A; Afendi, FM; ",Alternative of Strict Avalanche Criterion Test on Block Cipher Using Fisher’s Method,International Journal of Applied Mathematics and Statistics™,53,5,33-39,2015,
"Sundara, Vinny Yuliani; Sadik, Kusman; Kurnia, Anang; ",Cluster information of non-sampled area in small area estimation of poverty indicators using Empirical Bayes,AIP Conference Proceedings,1827,1,020026,2017,AIP Publishing
"Wijayanto, Hari; Notodiputro, Khairil Anwar; Abdurrachman, Edi; ",PENDUGAAN PRODUKTIVITAS KENTANG DENGAN METODE KEMUNGKINAN MAKSIMUM UNTUK MODEL ACAK,FORUM STATISTIKA DAN KOMPUTASI,10,2,,2005,
"Rakhmawan, Sapto; Notodiputro, Khairil Anwar; Sumertajaya, I Made; ",A STUDY OF ARIMA AND GARCH MODELS TO FORECAST CRUDE PALM OIL (CPO) EXPORT IN INDONESIA,"Proceeding of International Conference On Research, Implementation And Education Of Mathematics And Sciences 2015 (ICRIEMS 2015), Yogyakarta State University, 17-19 May 2015",,,,2015,Faculty of Mathematics and Sciences Yogyakarta State University
"Susianto, Y; Notodiputro, KA; Kurnia, A; Wijayanto, H; ",A Comparative Study of Imputation Methods for Estimation of Missing Values of Per Capita Expenditure in Central Java,IOP Conference Series: Earth and Environmental Science,58,1,012017,2017,IOP Publishing
"Kurnia, Ade; ",UPAYA MENINGKATKAN HASIL BELAJAR TOLAK PELURU GAYA MENYAMPING MELALUI MODEL PEMBELAJARAN KOOPERATIF PADA SISWA KELAS VIII SMP NEGERI 2 PERBAUNGAN TAHUN AJARAN 2014/2015,,,,,2015,UNIMED
"Wanishsakpong, Wandee; Notodiputro, Khairil Anwar; McNeil, Nittaya; ",Clustering and Forecasting Maximum Temperature of Australia,CHIANG MAI JOURNAL OF SCIENCE,43,4,904-+,2016,"CHIANG MAI UNIV FACULTY SCIENCE, CHIANG MAI, 50200, THAILAND"
"Anisa, Rahma; Notodiputro, Khairil Anwar; Kurnia, Anang; ",Small Area Estimation (SAE) for Non-sampled Areas Using Cluster Information,,,,,,
"Notodiputro, Khairil Anwar; ",Keragaman Taraf Perkembangan Perguruan Tinggi dan Penggolongan Fakultas di Seluruh Perguruan Tinggi Negeri,,,,,1982,IPB (Bogor Agricultural University)
"Herlawati, Indah; Kurnia, Anang; Afendi, Farit Mohamad; ",PENENTUAN NILAI PEMBOBOTAN DAN PENDUGA RAGAM UNTUK PENARIKAN CONTOH BERTAHAP (Studi Kasus: Survei Pra Pemilihan Gubernur dan Wakil Gubenur Jawa Barat di Daerah Pemilihan Kota Bogor),Xplore: Journal of Statistics,1,1,,2013,
"Kurnia, Agus; Muskita, Wellem H; Astuti, Oce; Harahap, Wulandari; ",Evaluasi penggunaan tepung cangkang rajungan sebagai bahan baku pakan juwana udang windu Penaeus monodon,Jurnal Akuakultur Indonesia,15,2,117-123,2016,
"Kurnia, Agus; Yusnaini, Wellem H Muskita; Astuti, Oce; Hamzah, Muhaimin; ","Replacement of Fish Meal with Fish Head Meal in the Diet on the Growth and Feed Efficiency of Spiny Lobster, Panulirus Ornatus Under Reared in Sea Net Cage",,,,,,
"ARDITYA, NUR RAHMAN; DHIAN, NOOR HIDAYAT; ARINI, HUSNAYATI; FAHAD, RODIAWAN; DEDE, FADILLAH; SEPTI, CAHYANTI; FEBRIANI, DWI ONDIKASARI; DIANITA, AYU NINGRUM; KURNIA, AMBARWATI; ","KULIAH KERJA NYATA REGULER PPM UNIVERSITAS AHMAD DAHLAN PERIODE 63 TAHUN AKADEMIK 2016/2017 DIVISI IA 3 DUSUN DONGKELAN XIII, DESA SIDOREJO, KECAMATAN GODEAN, KABUPATEN SLEMAN, YOGYAKARTA",LAPORAN KKN REGULER PPM PERIODE 63 2016/2017,,,,2017,UNIVERSITAS AHMAD DAHLAN
"Widyaningsih, Yekti; Saefuddin, Asep; Notodiputro, Khairil A; Wigena, Aji H; ",Nested Generalized Linear Model with Ordinal Response for Correlated Data,IPTEK The Journal for Technology and Science,23,2,,2012,
"Wahyudi, Notodiputro; Anwar, Khairil; Kurnia, Anang; Anisa, Rahma; ",A study of area clustering using factor analysis in small area estimation (An analysis of per capita expenditures of subdistricts level in regency and municipality of Bogor),American Institute of Physics Conference Series,1707,8,,2016,
"Kumia, Anang; Notodiputro, Khairil Anwar; ","Penerapan Metode Jackknife Dalam Pendugaan Area Kecil Vol 11, No 1, 2006",,,,,2006,Bogor Agricultural University
"Hutabarat, Ida Mariati; Notodiputro, Khairil Anwar; Juanda, Bambang; ",Pohon Klasifikasi dan Pohon Regresi Keberhasilan Mahasiswa Pascasarjana Program Studi Statistika IPB,Forum Statistika dan Komputasi,10,1,,2005,
"Setyono, I; Kurnia, Anang; Mattjik, Ahmad Ansori; ",KERAGAAN GALAT PADA BERBAGAI METODE OPTIMASI SISAAN,,,,,,
"Setiawan, Setiawan; Notodiputro, Khairil Anwar; ",Continum Regression with Discrete Wavelet Transformation Preprocessing,Jurnal ILMU DASAR,8,2,103-109,2009,
"Diapari, D; Bintoro, HMH; Jachja, J; Notodiputro, Khairil Anwar; Saeni, MS; ",The occurence of acid rain in Bogor regency and lead retention in sheep fed high lead ration,,,,,2008,IPB (Bogor Agricultural University)
"Notodiputro, Khairil Anwar; Purnaba, Putu; Gusti, I; ",A robust approach for joint models based on t distribution,,,,,2012,IPB (Bogor Agricultural University)
"Wulandari, Hestiani; Kurnia, Anang; Sumantri, Bambang; Kusumaningrum, Dian; Waryanto, Budi; ",PENERAPAN ANALISIS REGRESI SPLINE UNTUK MENDUGA HARGA CABAI DI JAKARTA,Indonesian Journal of Statistics and Its Applications,1,1,1-12,2017,
"Kurnia, Agustini; ",Komposisi dan Nilai Estetis Tari Bambangan Cakil Gaya Didik Bambang Wahyudi ISI Surakarta,,,,,2009,Universitas Negeri Semarang
"PELAPUK, DAN JAMUR; KURNIA, ANA; ","SIFAT KETERAWETAN DAN KEAWETAN KAYU DURIAN, LIMUS, DAN DUKU TERHADAP RAYAP KAYU KERING",,,,,,
"Anggreyani, Arie; Kurnia, Anang; ",SMALL AREA ESTIMATION FOR ESTIMATING THE NUMBER OF INFANT MORTALITY USING MIXED EFFECTS ZERO INFLATED POISSON MODEL,Forum Statistika dan Komputasi,20,2,,2015,
"Hajarisman, Nusar; Khairi, AN; Sadik, Kusman; ",Pendugaan angka kematian bayi dengan menggunakan Model Poisson Bayes berhirarki dua-level,"MIMBAR, Jurnal Sosial dan Pembangunan",29,1,49-56,2013,
"Susetyo, Budi; Sadik, Kusman; ",Prediksi Tak Bias Linier Terbaik Empirik pada Pendugaan Area Kecil dengan Data Panel untuk Menduga Indeks Pendidikan di Kabupaten Purwakarta.,,,,,2016,Bogor Agricultural University (IPB)
"Rahardiantoro, Septian; Kurnia, Anang; ",Simulation Study of Robust Regression in High Dimensional Data Through the LAD-LASSO,"Advances on Statistical Methods in Engineering, Science, Economy, Education and Disaster Management",,,46,2015,
"Kurnia, A; Notodiputro, KA; ",Generalized Additive Mixed Models for Small Area Estimation,Proceeding at the 2nd International Conference on Mathematical Sciences,,,28-29,2007,
"Kurnia, Anang; Notodiputro, Khairil A; ",RISK OF DENGUE HAEMORRHAGIC FEVER IN BEKASI MUNICIPALITY WITH SMALL AREA APPROACH1,,,,,,
"Sadik, Kusman; Notodiputro, Khairil Anwar; ",Small area estimation with time and area effects using a dynamic linear model,,,,,2008,Bogor Agricultural University
"LK, Darusman; Susetyo, B; Notodiputro, Khairil Anwar; Matjik, AA; Heryanto, Rudi; ",The exploration of the potency of ftir spectroscopy and chemometrics for extract bioactivity prediction and rapid analysis of bioactive content of medicinal plants,,,,,2006,IPB (Bogor Agricultural University)
"KURNIA, ANNY; ","INTERAKSI SOSIAL SISWA YANG TERSEGEGRASI: Studi Deskriptif Tentang Kompetisi, Kerjasama dan Pemilihan Teman di Kalangan Siswa-siswi Kelas Akselerasi di SMAN 5 dan SMPN 1 Surabaya",,,,,2006,UNIVERSITAS AIRLANGGA
"Kurnia, A; Saefuddin, A; ",Sutriyati. 2004. Analisis deret waktu pada data dengan ragam galat tak homogen: studi nilai tukar rupiah periode tahun 2001-2003,Forum Statistika dan Komputasi,9,,23-33,,
"Hafman, Sari Agustini; Kurnia, Anang; Buono, Agus; ",PENERAPAN RANTAI MARKOV PADA PENGEMBANGAN UJI KETERDUGAAN KUNCI (Markov Chain Technique in Key Predictability Test Development),FORUM STATISTIKA DAN KOMPUTASI,17,1,,2012,
"Atok, Mohamad; Notodiputro, Khairil Anwar; ",PERBANDINGAN PREPROCESSING METODE NN (NEURAL NETWORK) MENGGUNAKAN DISCRETE FOURIER TRANSFORM (DFT) DAN PRINCIPAL COMPONENT (PC) PADA DATA KALIBRASI,STATISTIKA: Journal of Theoretical Statistics and Its Applications,4,2,,2014,
"Pusparum, Murih; Kurnia, Anang; Alamudi, Aam; ",Winsor Approach in Regression Analysis with Outlier,Applied Mathematical Sciences,11,41,2031-2046,2017,
"KURNIA, Agus; SATOH, Shuichi; KURAMOTO, Daisuke; HANZAWA, Satoshi; ",Effect of different astaxanthin sources on skin pigmentation of red sea bream (Pagrus major),Aquaculture Science,55,3,441-447,2007,Japanese Society for Aquaculture Science
"Rahayu, Lili Puspita; Sadik, Kusman; Indahwati, Indahwati; ","Overdispersion study of poisson and zero-inflated poisson regression for some characteristics of the data on lamda, n, p",International Journal of Advances in Intelligent Informatics,2,3,140-148,2016,
"Notodiputro, Khairil Anwar; Purnaba, I Gusti Putu; ",KAJIAN SIMULASI KETAKNORMALAN PENGARUH ACAK DAN BANYAKNYA DERET DATA LONGITUDINAL DALAM PEMODELAN BERSAMA (JOINT MODELING)(Simulation Study of Random Effects Nonnormality and Number of Longitudinal Data Series in Joint Modeling),Forum Statistika dan Komputasi,16,2,,2011,
"Saefuddin, Asep; Kurnia, Anang; ",KLASIFIKASI SKOR PROPENSITAS DALAM PENDUGAAN SELANG KEPERCAYAAN BOOTSTRAP UNTUK PERBEDAAN NILAI TENGAH DUA POPULASI,FORUM STATISTIKA DAN KOMPUTASI,10,2,,2005,
"Notodiputro, Khairil Anwar; Darusman, Latifah Kosim; Purnaba, I; ",Pendekatan Regresi Kontinum dalam Model Kalibrasi,,,,,2007,IPB (Bogor Agricultural University)
"Kusumaningrum, Dian; Saefuddin, Asep; Kurnia, Anang; ",ANALYZING THE CONSUMER’S RICE PRICE USING MULTIPLE LINEAR REGRESSION AND X-12 ARIMA,STATISTIKA: Journal of Theoretical Statistics and Its Applications,4,2,,2014,
"Notodiputro, Khairil Anwar; Sumertajaya, I; Simanjuntak, Hesra; ",Penerapan Metode Kuadrat Terkecil Terampat Untuk Analisis Data Kepekaan Harga Dalam Riset Pemasaran,,,,,1997,IPB (Bogor Agricultural University)
"Boer, R; Notodiputro, KA; Las, I; ",PREDICTION OF DAILY RAINFALL CHARACTERISTICS FROM MONTHLY CLIMATE INDICES (PREDIKSI KARAKTERISTIK CURAH HUJAN HARIAN DARI PARAMETER IKLIM BULANAN),Jurnal Agromet Indonesia,21,1,,2007,
"Supriatin, Febriyani Eka; Susetyo, Budi; Sadik, Kusman; ",EBLUP METHOD OF TIME SERIES AND CROSS-SECTION DATA FOR ESTIMATING EDUCATION INDEX IN DISTRICT PURWAKARTA,Forum Statistika dan Komputasi,20,2,,2015,
"Kurnia, Anang; Kusumaningrum, Dian; Soleh, Agus M; Handayani, Dian; Anisa, Rahma; ",Small area estimation with winsorization method for poverty alleviation at a sub-district level,International Journal of Applied Mathematics and Statistics™,53,6,77-84,2015,
"Handayani, Dian; Kurnia, Anang; ",Mixed effect model approach for logistic regression model with overdispersion,"Proc. of ICoMS-1, Bandung",,,19-21,2006,
"Sadik, Kusman; Hajarisman, Nusar; ",Pendugaan Angka Kematian Bayi dengan Menggunakan Model Poisson Bayes Berhirarki Dua-Level,Mimbar: Jurnal Sosial dan Pembangunan,29,1,,,Bandung Islamic University
"Iqbal, Teuku Achmad; Sadik, Kusman; Sumertajaya, I Made; ",Pemodelan pengukuran luas panen padi nasional menggunakan Generalized Autoregressive Conditional Heteroscedastic model (GARCH),Jurnal Penelitian Pertanian Tanaman Pangan,33,1,,2014,
"Kurnia, Agus; ",UPAYA MENINGKATKAN HASIL BELAJAR RENANG GAYA BEBAS (CRAWL) DENGAN MENGGUNAKAN MODEL PEMBELAJARAN LANGSUNG (DIRECT INSTRUCTION) PADA SISWA KELAS X SMK NEGERI 1 PANYABUNGAN TAHUN AJARAN 2014/2015,,,,,2014,UNIMED
"Kurnia, Anggun; ",Penerapan Model Pembelajaran Kooperatif Tipe TGT (Team Games Tournament) Untuk Meningkatkan Aktivitas Dan Hasil Belajar Siswa Pada Materi Pokok Ekosistem Di Kelas VII SMP Swasta Pembangunan Galang Tahun Pembelajaran 2012/2013,,,,,2013,UNIMED
"Notodiputro, Khairil Anwar; ",A Study of Modified Fisher Scoring Algorithms for Statistical Image Reconstruction in Emission Tomography,,,,,1991,"Macquarie University, 1991 (revised 1992)"
"Barizi, Barizi; Notodiputro, Khairil Anwar; Siswadi, Siswadi; Haryanto, Haryanto; ",Kamus Matematika Statistika,,,,,1996,Pusat Pembinaan dan Pengembangan Bahasa
"Widyaningsih, Yekti; Saefuddin, Asep; Notodiputro, Khairil A; Wigena, Aji H; ",Nested generalized linear mixed model with ordinal response: Simulation and application on poverty data in Java Island,AIP Conference Proceedings,1450,1,147-154,2012,AIP
"Erfiani, Erfiani; Notodiputro, Khairil Anwar; ",MODEL KALIBRASI GINGEROL (STUDI KASUS: TANAMAN JAHE DAERAH KULONPROGO DAN KARANGANYAR),STATISTIKA: Journal of Theoretical Statistics and Its Applications,4,2,,2014,
"Asfar, Anang Kurnia; Sadik, Kusman; ",Optimum Spatial Weighted in Small Area Estimation,Global Journal of Pure and Applied Mathematics,12,5,3977-3989,2016,
"Sadik, Kusman; ",Parameter Quantile-like dalam Pendugaan Area Kecil Melalui Pendekatan Penalized-Splines,STATISTIKA: Forum Teori dan Aplikasi Statistika,8,1,,2014,
"Angraini, Yenni; Notodiputro, Khairil Anwar; Sadik, Kusman; ",Model Campuran Linear Terampat dalam pemodelan spesies dan stok ikan di Sungai Na Thap-Thailand Selatan,,,,,,
"Kurnia, Agus; Hamzah, Muhaimin; ",Substitusi Minyak Ikan dengan Minyak Jagung dalam Pakan Terhadap Pertumbuhan dan Kelangsungan Hidup Lobster Air Laut (Panulirus sp.),Media Akuatika: Jurnal Ilmiah Jurusan Budidaya Perairan,1,1,,2016,
"Setyawan, Antonius Benny; Notodiputro, Khairil Anwar; ",MODELLING CASES OF LOW BIRTH-WEIGHT INFANTS WITH GENERALIZED LINEAR MIXED MODEL,"Proceeding of International Conference On Research, Implementation And Education Of Mathematics And Sciences 2015 (ICRIEMS 2015), Yogyakarta State University, 17-19 May 2015",,,,2015,Faculty of Mathematics and Sciences Yogyakarta State University
"Fitriyani, Nurul; Awalushaumi, Lailia; Kurnia, Agus; ","Polytomous Logistic Regression in Analyzing the Presence of National Pilot Mosque in Karang Baru Mataram, 2016",,,,,,
"Sadik, Kusman; ",Pengembangan Algoritma EM untuk Data Tidak Lengkap (Incomplete Data) pada Model Log-Linear,,,,,2009,Jurusan Matematika FMIPA UGM
"Siswantining, Titin; Saefuddin, A; Notodiputro, KA; Nuryartono, N; Mangku, I Wayan; ",SCAN STATISTIC PRODUCED BY SAE USING SPATIAL HIERARCHICAL BAYES APPROACH: AN EXAMPLE OF POVERTY MAPPING IN INDONESIA,,,,,,
"Kurnia, A; Satoh, S; Haga, Y; Kudo, H; Nakada, M; Matsumura, H; Watanabe, Y; Adachi, S; ",Muscle coloration of rainbow trout with astaxanthin sources from marine bacteria and synthetic astaxanthin.,Journal of Aquaculture Research and Development,6,5,,2015,OMICS Publishing Group
"Sadik, Kusman; ",Spectral approach for time series analysis,,,,,2008,Bogor Agricultural University
"Hanifah, Fithria Siti; Wijayanto, Hari; Kurnia, Anang; ",SMOTEBagging Algorithm for Imbalanced Dataset in Logistic Regression Analysis (Case: Credit of Bank X),Applied Mathematical Sciences,9,138,6857-6865,2015,
"Diputra, Tendi Ferdian; Sadik, Kusman; Angraini, Yenni; ",PEMODELAN DATA PANEL SPASIAL DENGAN DIMENSI RUANG DAN WAKTU (Spatial Panel Data Modeling with Space and Time Dimensions),FORUM STATISTIKA DAN KOMPUTASI,17,1,,2012,
"Sundara, VY; Kurnia, A; Sadik, K; ",Clustering Information of Non-Sampled Area in Small Area Estimation of Poverty Indicators,IOP Conference Series: Earth and Environmental Science,58,1,012020,2017,IOP Publishing
"Sadik, Kusman; ",The ACE algorithm for optimal transformations in multiple,,,,,2008,Bogor Agricultural University
"Kurnia, Anang; Notodiputro, Khairil Anwar; Chambers, Ray; ",An Empirical Study of Log-Transformed EBLUP for Small Areas,,,,,,
"Mudikdjo, Kooswardhono; Fuah, Asnath M; Saefuddin, Asep; ",Potensi dan strategi pengembangan usaha sapi potong di Kabupaten Lima Puluh Kota Sumatera Barat,,,,,2009,IPB (Bogor Agricultural University)
"Saefuddin, Asep; ","Kemitraan BUMN, Pemda, Pendidikan Tinggi, dan Masyarakat untuk Kesejahteraan Bangsa dalam Kerangka K-Economy",,,,,2005,IPB (Bogor Agricultural University)
"Salim, Ja'far; Saefuddin, Asep; Riani, Etty; ",Model Strategi Pengelolaan Limbah Baja Di Wilayah Pesisir Kawasan Industri Krakatau Cilegon,,,,,2009,
"Sutrisno, Joko; Sanim, Bunasor; Saefuddin, Asep; Sitorus, Santun RP; ",PREDIKSI EROSI DAN SEDIMENTASI DI SUB DAERAH ALIRAN SUNGAI KEDUANG KABUPATEN WONOGIRI,Media Konservasi,16,2,,2016,
"Purnaningsih, Ninuk; Ginting, Basita; Slamet, Margono; Saefuddin, Asep; Padmowihardjo, Soedijanto; ",Faktor-faktor yang Mempengaruhi Adopsi Inovasi Pola Kemitraan Agribisnis Sayuran di Jawa Barat,Jurnal Penyuluhan,2,2,,2006,
"Saefuddin, Asep; Angraini, Yenni; ",Latent Class Logistic Analysis (Clustering Indonesian Students Achievement In Mathematics Base On TIMSS’Survey).,,,,,2010,
"Purmalino, Andres; Saefuddin, Asep; Wijayanto, Hari; ",ALTERNATIVE SEMIPARAMETRIC ESTIMATION FOR NON-NORMALITY IN CENSORED REGRESSION MODEL WITH LARGE NUMBER OF ZERO OBSERVATION,Forum Statistika dan Komputasi,20,2,,2015,
"Kristiani, Enny; Sumarwan, Ujang; Yulianti, Lilik Noor; Saefuddin, Asep; ",Customer Loyalty and Profitability: Empirical Evidence of Frequent Flyer Program,International Journal of Marketing Studies,5,6,62,2013,
"Kristiani, Enny; Sumarwan, Ujang; Yuliati, Lilik Noor; Saefuddin, Asep; ","Managing Reward to Enhance Customer Value: Empirical Study of Frequent Flyer Program"" Reviewer""",,,,,2014,Jurnal manajemen Teknologi Sekolah Bisnis&Manajemen ITB
"Syam, M; Saefuddin, A; ","["" Gogo rancah""[system of growing rice in Java, Indonesia in rainfed areas] and its main problems: soil cultivation and weeds]","1. Simposium Peranan Hasil Penelitian Padi dan Palawija dalam Pembangunan Pertanian, Maros (Indonesia), 26-29 Sep 1977",,,,1977,
"Soleh, Agus M; Salim, Agus; Wigena, Aji H; Saefuddin, Asep; Djuraidah, Anik; ",Estimation of Linear Regression Models with L1 Penalty (LASSO) using Iterative Approach and Its Implementation on Statistical Downscaling Models,,,,,,
"Jajang, Jajang; Saefuddin, Asep; Mangku, I Wayan; Siregar, Hermanto; ",Analisis Kemiskinan Menggunakan Model Panel Spasial Statik,"MIMBAR, Jurnal Sosial dan Pembangunan",29,2,195-204,2013,
"Sudarmika, Etih; Sudarwanto, Mirnawati; Saefuddin, Asep; Cahyaningsih, Umi; Hadi, Upik Kesumawati; Eng, Jodi Vaden; Hawley, William A; ","Detection of hotspots area in malaria surveillance in bangka district, Indonesia",,,,,2010,The 1st SEAVSA
"Saefuddin, Asep; Quazi, Ali; D'Souza, Clare Mary; Russell, Steve; Yiridoe, Emmanuel; Nanere, Marthin Gideon; ",A Comparative Study of Consumer Perceptions of GMFs in Australia and Indonesia,,,,,2007,"[Sl]: TBC,"
"Trisyulianti, E; Hardjomidjojo, H; Arkeman, Yandra; Saefuddin, A; ",Desain sistem pakar untuk kontrol kualitas pakan,,,,,2005,IPB (Bogor Agricultural University)
"Sudarnika, Etih; Sudarwanto, Mirnawati; Saefuddin, Asep; Cahyaningsih, Umi; Hadi, Upik Kesumawati; Kusriastuti, Rita; Eng, Jodi Vanden; Hawley, William A; ","APPLICATION OF CONDITIONAL LOGISTIC REGRESSION MODEL TO ANALYZED EFFECT OF HEAT ASSISTED REGENERATION ON LONG LASTING INSECTICIDAL NETS TO RISK OF MALARIA IN CHILDREN UNDER FIVE YEARS OLD IN BANGKA DISTRICT, INDONESIA",,,,,,
"Saefuddin, Asep; Dahuri, Rokhim; ",Meningkatkan Citra Pertanian Melalui Kebudayaan Industri,,,,,2003,IPB (Bogor Agricultural University)
"Soleh, Agus M; Wigena, Aji H; Djuraidah, Anik; Saefuddin, Asep; ",Statistical downscaling to predict monthly rainfall using linear regression with L1 regularization (lasso),Applied Mathematical Sciences,9,108,5361-5369,2015,
"Saefuddin, A; Mangku, IW; Siregar, H; ","COMPARING PERFORMANCES OF WG, WGNEW AND WC ON DYNAMIC SPATIAL PANEL MODEL BY MONTE CARLO SIMULATIONS",Far East Journal of Mathematical Sciences,90,1,17,2014,Pushpa Publishing House
"Saefuddin, Asep; Mangkuprawira, Syafri; Riani, Etty; Kardono, Priyadi; ",Identifikasi Potensi Bencana Alam dan Upaya Mitigasi yang Paling Sesuai Diterapkan di Pesisir Indramayu dan Ciamis,,,,,2008,
"Soleh, Agus M; Wigena, Aji H; Djuraidah, Anik; Saefuddin, Asep; ",Gamma distribution linear modeling with statistical downscaling to predict extreme monthly rainfall in Indramayu,"Mathematics, Statistics, and Their Applications (ICMSA), 2016 12th International Conference on",,,134-138,2016,IEEE
"Sumarwan, U; Sugema, I; Saefuddin, Asep; ","Segmentasi Nasabah Tabungan Mikro Berdasarkan Recency, Frequency, Dan Monetary: Kasus Bank Bri",,,,,2011,Finance and Banking Journal
"Rajati, Tati; Kusmana, Cecep; Darusman, Dudung; Saefuddin, Asep; ",Optimalisasi Pemanfaatan Lahan Kehutanan dalam Rangka Peningkatan Kualitas Lingkungan dan Kesejahteraan Sosial Ekonomi Masyarakat Desa Sekitar Hutan: Studi Kasus Di Kabupaten Sumedang (The Optimization of Forest Land Utilization to Improve Environment Q,Jurnal Manajemen Hutan Tropika,12,1,,2006,
"Hutabarat, Ida Mariati; Saefuddin, Asep; Djuraidah, Anik; Mangku, I Wayan; ",Estimating the Parameters Geographically Weighted Regression (GWR) with Measurement Error,Open Journal of Statistics,3,06,417,2013,Scientific Research Publishing
"Kristiani, Enny; Sumarwan, Ujang; Yulianti, Lilik Noor; Saefuddin, Asep; ",Managing Rewards to Enhance Customer Value: Empirical Study of Frequent Flyer Program,,,,,2014,Jurnal Manajemen Teknologi
"Saefuddin, A; Noor, RR; Djajanegara, A; Inounu, I; ",Increasing sheep genetic quality through integrated selection program,,,,,2003,IPB
"Saefuddin, Asep; Sulaiman, Fatah; Zain, Alinda Fitriany Malik; ",Studi Kondisi Eksisting Dan Gap Pengelolaan Kawasan Industri Cilegon Provinsi Banten Menuju Eco Industrial Park,,,,,2011,
"Yulita, Tiyas; Saefuddin, Asep; Wigena, Aji Hamim; ",RIDGE AND LASSO PERFORMANCE IN SPATIAL DATA WITH HETEROGENEITY AND MULTICOLLINEARITY,FORUM STATISTIKA DAN KOMPUTASI,20,2,,2015,
"Sudarnika, Etih; Sudarwanto, Mirnawati; Saefuddin, Asep; Cahyaningsih, Umi; Hadi, Upik Kesumawati; Kusriastuti, Rita; Eng, Jodi Vanden; Zhang, Daowen; Hawley, William A; ",Tingkat Insidensi Malaria di Wilayah Pemanasan Kelambu Berinsektisida Tahan Lama dan Wilayah Kontrol (MALARIA INCIDENCE RATE OF HEAT ASSISTED REGENERATION LONG LASTING INSECTICIDAL NETS AREA AND CONTROL),Jurnal Veteriner,12,1,40-49,2012,
"Sundari, Siti; Daryanto, Arief; Tambunan, Mangara; Saefuddin, Asep; ",FAKTOR-FAKTOR YANG MEMPENGARUHI SUSTAINABILITAS PERTUMBUHAN FINANSIAL LEMBAGA KEUANGAN MIKRO DI JAWA TIMUR,Jurnal Manajemen & Agribisnis,9,1,31-41,2012,
"Soleh, Agus M; Wigena, Aji H; Djuraidah, Anik; Saefuddin, Asep; ",PEMODELAN STATISTICAL DOWNSCALING UNTUK MENDUGA CURAH HUJAN BULANAN MENGGUNAKAN MODEL LINIER TERAMPAT SEBARAN GAMMA,,,,,,
"Saefuddin, Asep; ",An Application of Logistic Regression on Correlated Data,MATEMATIKA,29,,17-23,2013,
"Sunarti, Euis; Syarief, Hidayat; Megawangi, Ratna; Saefuddin, Asep; ",Measurement of Family Strength,Media Gizi dan Keluarga,27,1,,2003,
"SUTRISNO, JOKO; SANIM, BUNASOR; SAEFUDDIN, ASEP; SITORUS, SANTUN RP; ",VALUASI EKONOMI EROSI LAHAN PERTANIAN DI SUB DAERAH ALIRAN SUNGAI KEDUANG KABUPATEN WONOGIRI,SEPA: Vol. 8 No. 2,8,2,,2012,
"Saefuddin, Asep; ",Sarjana Tanpa Riset,,,,,2015,RADAR BOGOR
"Saefuddin, Asep; ","Statistika: Dulu, Kini, Dan Masa Depan",,,,,2014,Bogor Agricultural University
"Saefuddin, Asep; ","Risk Factors For Water Fowl Infection With Avian Influenza Hsn1, West Java Province, Indonesia",,,,,2008,
"Salman, Lia Budimulyati; Noor, Ronny Rachman; Saefuddin, Asep; Talib, Chalid; ",KURVA PERTUMBUHAN SAPI PERAH FRIES HOLLANDS DARI LAHIR SAMPAI UMUR KAWIN PERTAMA DENGAN MODEL MATEMATIKA LOGISTIC,Informatika Pertanian,23,1,75-84,2016,
"Saefuddin, Asep; Setiabudi, Nur Andi; Fitrianto, Anwar; ",On comparison between logistic regression and geographically weighted logistic regression: with application to Indonesian poverty data,World Applied Sciences Journal,19,2,205-210,2012,
"Saefuddin, Asep; Setiabudi, Nur Andi; ",The Effect of Overdispersion on Logistic Regression Analysis of Poverty in Indonesia,,,,,2011,International Journal for Statisticians
"Sutrisno, Joko; Sanim, Bunasor; Saefuddin, Asep; Sitorus, Santun RP; ",Arahan Kebijakan Pengendalian Erosi Dan Sedimentasi Di Sub Daerah Aliran Sungai Keduang Kabupaten Wonogiri,Sains Tanah-Journal of Soil Science and Agroclimatology,8,2,105-118,2013,
"Saefuddin, Asep; ",Generalized Additive Mixed Models In Small Area Estimation,,,,,2008,
"Saefuddin, Asep; Guntoro, Dwi; Amrullah, Ibnu Katsir; Agit, K; ",Dukungan IPB dalam Pengembangan Serat Rami,,,,,2010,IPB (Bogor Agricultural University)
